lead_id,lead_stage,event_id,event_type,event_timestamp,event_outcome,days_since_last_contact,days_since_creation,total_emails_sent,total_calls_made,total_meetings,last_email_sentiment,response_rate,next_action_taken
L41,Proposal,E41,Meeting,2023-01-02 17:00:00,Opened,1,107,2,7,4,Positive,0.81,Wait
L42,Proposal,E42,Demo,2023-01-02 18:00:00,Replied,5,82,24,5,4,Positive,0.63,Close
L43,New,E43,Demo,2023-01-02 19:00:00,Opened,5,71,14,5,3,Positive,0.7,Wait
L44,New,E44,Meeting,2023-01-02 20:00:00,No-show,4,114,18,3,7,Negative,0.37,Call
L45,Proposal,E45,Demo,2023-01-02 21:00:00,No-show,4,90,1,6,2,Positive,0.48,Email
L46,Qualified,E46,Meeting,2023-01-02 22:00:00,Replied,13,72,11,18,3,Positive,0.2,Wait
L47,New,E47,Email,2023-01-02 23:00:00,Opened,2,70,4,6,0,Neutral,0.68,Call
L48,Qualified,E48,Call,2023-01-03 00:00:00,Replied,14,30,21,2,6,Positive,0.22,Call
L49,Qualified,E49,Call,2023-01-03 01:00:00,Replied,9,103,16,7,0,Negative,0.0,Call
L50,Qualified,E50,Demo,2023-01-03 02:00:00,No-show,14,23,13,0,1,Neutral,0.93,Close
L51,New,E51,Demo,2023-01-03 03:00:00,Opened,9,32,27,0,6,Neutral,0.31,Close
L52,Qualified,E52,Demo,2023-01-03 04:00:00,Opened,10,86,26,13,0,Positive,0.2,Call
L53,New,E53,Call,2023-01-03 05:00:00,Opened,11,106,21,5,2,Neutral,0.27,Call
L54,Qualified,E54,Email,2023-01-03 06:00:00,Opened,1,107,9,9,5,Positive,0.33,Wait
L55,Proposal,E55,Email,2023-01-03 07:00:00,Replied,6,57,2,13,5,Neutral,0.47,Wait
L56,Proposal,E56,Call,2023-01-03 08:00:00,Replied,0,109,3,3,5,Negative,0.07,Email
L57,New,E57,Email,2023-01-03 09:00:00,No-show,5,9,5,5,1,Positive,0.05,Wait
L58,Proposal,E58,Call,2023-01-03 10:00:00,Replied,5,31,23,15,1,Negative,0.29,Email
L59,Proposal,E59,Email,2023-01-03 11:00:00,Replied,2,71,24,0,5,Positive,0.3,Email
L60,Qualified,E60,Meeting,2023-01-03 12:00:00,No-show,1,9,21,5,9,Negative,0.12,Email
L61,New,E61,Meeting,2023-01-03 13:00:00,No-show,11,13,15,8,4,Negative,0.4,Close
L62,Qualified,E62,Call,2023-01-03 14:00:00,No-show,1,58,6,14,6,Neutral,0.28,Wait
L63,Qualified,E63,Email,2023-01-03 15:00:00,Replied,13,3,14,11,6,Positive,0.03,Call
L64,Qualified,E64,Demo,2023-01-03 16:00:00,Replied,12,35,29,2,4,Neutral,0.89,Email
L65,Qualified,E65,Email,2023-01-03 17:00:00,No-show,8,97,20,10,7,Negative,0.89,Call
L66,Qualified,E66,Meeting,2023-01-03 18:00:00,No-show,10,21,29,14,9,Positive,0.21,Email
L67,Qualified,E67,Meeting,2023-01-03 19:00:00,No-show,4,64,27,2,5,Negative,0.16,Wait
L68,Qualified,E68,Email,2023-01-03 20:00:00,Replied,6,95,24,13,4,Negative,0.55,Email
L69,New,E69,Email,2023-01-03 21:00:00,Replied,11,52,19,1,3,Negative,0.63,Wait
L70,Proposal,E70,Demo,2023-01-03 22:00:00,Opened,4,34,25,3,6,Negative,0.96,Call
L71,Qualified,E71,Demo,2023-01-03 23:00:00,Replied,6,96,10,18,3,Neutral,0.38,Wait
L72,Qualified,E72,Email,2023-01-04 00:00:00,Replied,12,35,21,11,4,Negative,0.62,Call
L73,Qualified,E73,Email,2023-01-04 01:00:00,Replied,3,15,20,1,4,Neutral,0.88,Wait
L74,Qualified,E74,Email,2023-01-04 02:00:00,No-show,7,96,0,16,0,Negative,0.45,Email
L75,Qualified,E75,Email,2023-01-04 03:00:00,Replied,12,6,4,2,0,Positive,0.12,Email
L76,Qualified,E76,Call,2023-01-04 04:00:00,No-show,10,109,12,9,2,Negative,0.38,Wait
L77,Proposal,E77,Email,2023-01-04 05:00:00,Opened,13,85,20,15,2,Negative,0.14,Call
L78,Proposal,E78,Demo,2023-01-04 06:00:00,Opened,9,97,13,8,1,Positive,0.02,Call
L79,Qualified,E79,Meeting,2023-01-04 07:00:00,No-show,12,32,8,10,1,Positive,0.75,Call
L80,Proposal,E80,Call,2023-01-04 08:00:00,No-show,10,52,16,14,5,Negative,0.24,Wait
L81,New,E81,Email,2023-01-04 09:00:00,No-show,9,83,14,2,0,Negative,0.0,Wait
L82,Qualified,E82,Meeting,2023-01-04 10:00:00,Replied,6,97,20,15,5,Neutral,0.87,Wait
L83,New,E83,Call,2023-01-04 11:00:00,Opened,9,28,6,11,4,Positive,0.44,Wait
L84,New,E84,Meeting,2023-01-04 12:00:00,No-show,14,95,26,4,5,Positive,0.24,Call
L85,Qualified,E85,Email,2023-01-04 13:00:00,Replied,4,85,21,6,4,Neutral,0.26,Call
L86,Proposal,E86,Email,2023-01-04 14:00:00,Opened,10,118,21,8,6,Negative,0.24,Close
L87,New,E87,Demo,2023-01-04 15:00:00,Replied,5,98,11,17,0,Negative,0.19,Wait
L88,Qualified,E88,Email,2023-01-04 16:00:00,Opened,4,64,22,7,2,Positive,0.84,Close
L89,New,E89,Email,2023-01-04 17:00:00,Replied,6,79,5,11,5,Neutral,0.17,Wait
L90,New,E90,Call,2023-01-04 18:00:00,Opened,11,78,20,19,0,Negative,0.56,Close
L91,New,E91,Demo,2023-01-04 19:00:00,Opened,1,19,15,1,6,Positive,0.08,Call
L92,New,E92,Call,2023-01-04 20:00:00,Replied,4,107,25,9,3,Negative,0.95,Call
L93,Proposal,E93,Meeting,2023-01-04 21:00:00,No-show,14,15,4,18,2,Negative,0.6,Close
L94,New,E94,Email,2023-01-04 22:00:00,Opened,9,6,8,8,9,Negative,0.9,Email
L95,New,E95,Meeting,2023-01-04 23:00:00,No-show,14,116,13,7,8,Positive,0.4,Wait
L96,New,E96,Call,2023-01-05 00:00:00,Replied,2,73,7,0,0,Neutral,0.81,Close
L97,Proposal,E97,Email,2023-01-05 01:00:00,No-show,8,101,13,5,7,Neutral,0.85,Close
L98,New,E98,Email,2023-01-05 02:00:00,No-show,12,84,11,11,0,Negative,0.7,Email
L99,New,E99,Call,2023-01-05 03:00:00,No-show,5,98,9,18,4,Neutral,0.09,Call
L100,Proposal,E100,Call,2023-01-05 04:00:00,No-show,12,38,29,16,9,Negative,0.02,Close
L101,Proposal,E101,Call,2023-01-05 05:00:00,No-show,9,26,19,1,7,Positive,0.17,Call
L102,Proposal,E102,Call,2023-01-05 06:00:00,Opened,2,82,19,10,5,Positive,0.12,Wait
L103,New,E103,Call,2023-01-05 07:00:00,Opened,6,92,25,17,6,Positive,0.73,Email
L104,Proposal,E104,Email,2023-01-05 08:00:00,Opened,3,119,20,10,7,Negative,0.56,Call
L105,Proposal,E105,Call,2023-01-05 09:00:00,Replied,13,51,12,17,5,Neutral,0.53,Close
L106,New,E106,Email,2023-01-05 10:00:00,No-show,2,73,28,7,5,Positive,0.25,Email
L107,Proposal,E107,Email,2023-01-05 11:00:00,Opened,7,96,18,14,5,Negative,0.15,Email
L108,New,E108,Call,2023-01-05 12:00:00,Replied,12,53,14,8,4,Neutral,0.21,Email
L109,Qualified,E109,Call,2023-01-05 13:00:00,Opened,3,56,7,14,7,Neutral,0.4,Email
L110,Proposal,E110,Demo,2023-01-05 14:00:00,Opened,10,59,22,6,1,Neutral,0.74,Email
L111,Qualified,E111,Email,2023-01-05 15:00:00,No-show,0,70,20,19,6,Negative,0.25,Wait
L112,New,E112,Call,2023-01-05 16:00:00,Replied,5,78,9,12,3,Negative,0.7,Wait
L113,Proposal,E113,Call,2023-01-05 17:00:00,No-show,9,92,2,12,0,Negative,0.49,Email
L114,New,E114,Call,2023-01-05 18:00:00,No-show,10,58,20,0,4,Positive,0.89,Close
L115,Qualified,E115,Demo,2023-01-05 19:00:00,Opened,10,88,2,19,2,Negative,0.23,Close
L116,New,E116,Demo,2023-01-05 20:00:00,No-show,0,13,25,3,3,Positive,0.45,Wait
L117,Proposal,E117,Meeting,2023-01-05 21:00:00,Replied,4,43,4,3,6,Positive,0.1,Call
L118,Proposal,E118,Email,2023-01-05 22:00:00,No-show,6,76,15,3,4,Positive,0.34,Email
L119,Qualified,E119,Meeting,2023-01-05 23:00:00,No-show,14,51,16,12,3,Negative,0.51,Close
L120,New,E120,Call,2023-01-06 00:00:00,No-show,5,19,5,1,0,Positive,0.73,Wait
L121,Proposal,E121,Demo,2023-01-06 01:00:00,Opened,13,21,25,14,5,Negative,0.2,Wait
L122,Qualified,E122,Demo,2023-01-06 02:00:00,Replied,1,91,19,3,9,Negative,0.22,Call
L123,Proposal,E123,Meeting,2023-01-06 03:00:00,Opened,10,83,19,5,5,Positive,0.63,Call
L124,Proposal,E124,Demo,2023-01-06 04:00:00,Opened,3,24,15,2,6,Positive,0.38,Close
L125,New,E125,Call,2023-01-06 05:00:00,Opened,10,26,23,6,0,Positive,0.48,Call
L126,Proposal,E126,Demo,2023-01-06 06:00:00,Opened,14,45,1,5,3,Negative,0.84,Call
L127,New,E127,Meeting,2023-01-06 07:00:00,Opened,1,28,19,2,8,Negative,0.5,Email
L128,Proposal,E128,Call,2023-01-06 08:00:00,Replied,10,110,14,3,9,Positive,0.65,Wait
L129,Qualified,E129,Meeting,2023-01-06 09:00:00,No-show,0,82,17,9,5,Positive,0.66,Wait
L130,Proposal,E130,Demo,2023-01-06 10:00:00,Opened,14,108,0,8,1,Neutral,0.8,Call
L131,New,E131,Meeting,2023-01-06 11:00:00,Opened,2,100,25,5,3,Positive,0.64,Wait
L132,New,E132,Meeting,2023-01-06 12:00:00,Replied,2,106,28,19,5,Neutral,0.06,Wait
L133,Qualified,E133,Email,2023-01-06 13:00:00,Replied,14,29,28,10,3,Neutral,0.34,Close
L134,Proposal,E134,Demo,2023-01-06 14:00:00,No-show,11,17,18,6,9,Negative,0.99,Wait
L135,Proposal,E135,Demo,2023-01-06 15:00:00,Replied,6,68,11,17,6,Negative,0.2,Call
L136,Qualified,E136,Meeting,2023-01-06 16:00:00,No-show,0,44,7,3,2,Neutral,0.59,Close
L137,Proposal,E137,Email,2023-01-06 17:00:00,Opened,8,109,5,4,5,Neutral,0.84,Wait
L138,Proposal,E138,Demo,2023-01-06 18:00:00,Opened,10,61,11,3,3,Positive,0.59,Wait
L139,New,E139,Call,2023-01-06 19:00:00,No-show,5,93,6,3,2,Neutral,0.37,Close
L140,Proposal,E140,Meeting,2023-01-06 20:00:00,Replied,3,68,17,12,2,Positive,0.08,Close
L141,Proposal,E141,Demo,2023-01-06 21:00:00,No-show,2,74,21,15,1,Negative,0.36,Wait
L142,Qualified,E142,Call,2023-01-06 22:00:00,Replied,14,25,13,13,2,Positive,0.18,Email
L143,Qualified,E143,Demo,2023-01-06 23:00:00,Opened,2,95,7,10,9,Negative,0.96,Email
L144,New,E144,Call,2023-01-07 00:00:00,Replied,1,67,23,1,0,Neutral,0.72,Wait
L145,Proposal,E145,Meeting,2023-01-07 01:00:00,No-show,1,111,19,13,2,Neutral,0.75,Wait
L146,Proposal,E146,Demo,2023-01-07 02:00:00,No-show,13,2,21,6,8,Neutral,0.44,Close
L147,Proposal,E147,Demo,2023-01-07 03:00:00,Opened,11,89,13,10,3,Positive,0.11,Close
L148,New,E148,Email,2023-01-07 04:00:00,Replied,12,49,4,3,2,Negative,0.27,Wait
L149,New,E149,Meeting,2023-01-07 05:00:00,Replied,9,70,8,6,7,Negative,0.26,Wait
L150,Qualified,E150,Call,2023-01-07 06:00:00,Replied,4,26,7,15,0,Negative,0.49,Wait
L151,New,E151,Demo,2023-01-07 07:00:00,Opened,8,72,1,5,4,Negative,0.46,Wait
L152,Proposal,E152,Demo,2023-01-07 08:00:00,Replied,1,99,27,5,0,Negative,0.43,Email
L153,Proposal,E153,Call,2023-01-07 09:00:00,No-show,1,27,15,1,6,Positive,0.5,Close
L154,New,E154,Meeting,2023-01-07 10:00:00,Replied,11,89,12,7,4,Negative,0.99,Call
L155,Proposal,E155,Email,2023-01-07 11:00:00,Opened,5,18,6,6,1,Neutral,0.3,Wait
L156,Proposal,E156,Email,2023-01-07 12:00:00,Replied,12,54,15,13,0,Negative,0.62,Wait
L157,New,E157,Demo,2023-01-07 13:00:00,Replied,14,1,6,8,6,Neutral,0.24,Wait
L158,New,E158,Call,2023-01-07 14:00:00,No-show,9,61,26,14,0,Positive,0.47,Call
L159,Proposal,E159,Demo,2023-01-07 15:00:00,Replied,1,112,13,17,2,Positive,0.2,Close
L160,Proposal,E160,Call,2023-01-07 16:00:00,No-show,11,103,13,11,5,Neutral,0.56,Close
L161,Proposal,E161,Email,2023-01-07 17:00:00,No-show,3,3,11,18,5,Negative,0.27,Wait
L162,Qualified,E162,Meeting,2023-01-07 18:00:00,Opened,5,119,0,12,6,Positive,0.04,Wait
L163,Qualified,E163,Call,2023-01-07 19:00:00,No-show,4,68,0,6,0,Positive,0.82,Close
L164,Qualified,E164,Email,2023-01-07 20:00:00,No-show,0,41,11,9,6,Positive,0.13,Call
L165,New,E165,Demo,2023-01-07 21:00:00,Opened,14,37,19,9,1,Negative,0.37,Wait
L166,Qualified,E166,Call,2023-01-07 22:00:00,No-show,5,51,20,1,5,Neutral,0.48,Call
L167,New,E167,Meeting,2023-01-07 23:00:00,Opened,0,15,14,13,7,Neutral,0.43,Call
L168,New,E168,Demo,2023-01-08 00:00:00,Replied,2,8,3,12,4,Negative,0.73,Close
L169,Qualified,E169,Demo,2023-01-08 01:00:00,Opened,9,38,6,5,9,Positive,0.6,Wait
L170,Qualified,E170,Email,2023-01-08 02:00:00,No-show,4,114,15,8,2,Negative,0.3,Email
L171,Qualified,E171,Call,2023-01-08 03:00:00,Opened,13,83,2,12,7,Negative,0.05,Close
L172,Proposal,E172,Demo,2023-01-08 04:00:00,No-show,9,56,6,8,7,Neutral,0.77,Close
L173,Qualified,E173,Meeting,2023-01-08 05:00:00,Replied,12,47,28,12,3,Negative,0.35,Email
L174,Proposal,E174,Call,2023-01-08 06:00:00,Opened,4,90,23,4,7,Negative,0.89,Wait
L175,New,E175,Meeting,2023-01-08 07:00:00,Replied,12,103,21,13,4,Positive,0.4,Call
L176,Proposal,E176,Demo,2023-01-08 08:00:00,No-show,9,10,5,4,4,Positive,0.72,Call
L177,Qualified,E177,Meeting,2023-01-08 09:00:00,No-show,5,102,15,8,2,Neutral,0.94,Call
L178,New,E178,Email,2023-01-08 10:00:00,Replied,14,78,23,7,6,Positive,0.65,Wait
L179,New,E179,Meeting,2023-01-08 11:00:00,Opened,11,49,7,6,8,Negative,0.41,Close
L180,New,E180,Call,2023-01-08 12:00:00,Opened,9,41,22,7,8,Negative,0.57,Close
L181,Proposal,E181,Meeting,2023-01-08 13:00:00,No-show,7,83,21,2,0,Negative,0.54,Close
L182,Qualified,E182,Meeting,2023-01-08 14:00:00,Replied,4,30,5,14,0,Neutral,0.58,Close
L183,New,E183,Email,2023-01-08 15:00:00,Replied,13,5,9,7,9,Positive,0.15,Close
L184,New,E184,Meeting,2023-01-08 16:00:00,Opened,14,119,15,0,4,Negative,0.7,Email
L185,New,E185,Meeting,2023-01-08 17:00:00,Opened,10,95,10,6,0,Positive,0.15,Call
L186,Proposal,E186,Demo,2023-01-08 18:00:00,Opened,0,71,12,18,3,Positive,0.01,Call
L187,Proposal,E187,Demo,2023-01-08 19:00:00,Replied,4,83,28,1,0,Positive,0.62,Wait
L188,Qualified,E188,Call,2023-01-08 20:00:00,Opened,2,31,5,13,1,Positive,0.12,Email
L189,Proposal,E189,Demo,2023-01-08 21:00:00,Opened,3,52,23,17,1,Neutral,0.77,Close
L190,New,E190,Demo,2023-01-08 22:00:00,No-show,14,103,0,14,3,Neutral,0.87,Close
L191,Qualified,E191,Demo,2023-01-08 23:00:00,Opened,14,88,20,13,7,Neutral,0.94,Close
L192,New,E192,Demo,2023-01-09 00:00:00,Opened,12,98,18,18,1,Negative,0.66,Email
L193,New,E193,Email,2023-01-09 01:00:00,Replied,7,23,11,18,8,Negative,0.48,Wait
L194,Proposal,E194,Demo,2023-01-09 02:00:00,Replied,6,48,23,16,8,Negative,0.35,Email
L195,Qualified,E195,Email,2023-01-09 03:00:00,No-show,10,109,26,18,1,Neutral,0.49,Wait
L196,Proposal,E196,Email,2023-01-09 04:00:00,Opened,4,40,5,15,0,Positive,0.19,Call
L197,Proposal,E197,Demo,2023-01-09 05:00:00,No-show,1,6,29,19,9,Neutral,0.35,Wait
L198,Qualified,E198,Meeting,2023-01-09 06:00:00,Replied,5,38,17,18,9,Negative,0.72,Call
L199,New,E199,Email,2023-01-09 07:00:00,No-show,10,41,12,0,8,Negative,0.22,Wait
L200,New,E200,Meeting,2023-01-09 08:00:00,Replied,5,100,6,18,1,Positive,0.26,Call
L201,Qualified,E201,Meeting,2023-01-09 09:00:00,No-show,9,27,22,6,7,Neutral,0.75,Call
L202,New,E202,Demo,2023-01-09 10:00:00,No-show,9,75,12,10,2,Positive,0.18,Close
L203,Qualified,E203,Call,2023-01-09 11:00:00,Opened,13,69,20,4,0,Neutral,0.25,Wait
L204,Qualified,E204,Demo,2023-01-09 12:00:00,No-show,10,57,7,16,0,Negative,0.02,Close
L205,Proposal,E205,Call,2023-01-09 13:00:00,Opened,5,17,29,10,9,Positive,0.72,Call
L206,Qualified,E206,Call,2023-01-09 14:00:00,Opened,13,116,20,7,1,Positive,0.62,Close
L207,Proposal,E207,Demo,2023-01-09 15:00:00,Opened,8,71,16,9,6,Neutral,0.69,Email
L208,New,E208,Demo,2023-01-09 16:00:00,Opened,10,91,8,11,5,Neutral,0.21,Close
L209,New,E209,Call,2023-01-09 17:00:00,No-show,7,47,19,9,1,Neutral,0.69,Wait
L210,New,E210,Demo,2023-01-09 18:00:00,Replied,7,79,12,12,3,Negative,0.6,Close
L211,New,E211,Call,2023-01-09 19:00:00,Replied,0,110,1,17,1,Neutral,0.37,Email
L212,Proposal,E212,Meeting,2023-01-09 20:00:00,Replied,4,13,3,9,0,Negative,0.44,Close
L213,New,E213,Demo,2023-01-09 21:00:00,No-show,6,11,29,18,2,Neutral,0.57,Call
L214,Qualified,E214,Meeting,2023-01-09 22:00:00,Opened,5,109,28,19,3,Neutral,0.49,Call
L215,Qualified,E215,Email,2023-01-09 23:00:00,Replied,4,90,24,16,9,Negative,0.64,Call
L216,Qualified,E216,Meeting,2023-01-10 00:00:00,No-show,7,86,1,19,4,Neutral,0.18,Wait
L217,Proposal,E217,Meeting,2023-01-10 01:00:00,Opened,2,92,3,15,4,Negative,0.54,Close
L218,New,E218,Call,2023-01-10 02:00:00,Replied,5,24,17,4,6,Negative,0.45,Call
L219,New,E219,Meeting,2023-01-10 03:00:00,Opened,14,93,4,2,9,Neutral,0.46,Close
L220,New,E220,Demo,2023-01-10 04:00:00,Replied,4,73,18,14,7,Neutral,0.47,Email
L221,Proposal,E221,Call,2023-01-10 05:00:00,Replied,7,106,9,1,8,Positive,0.88,Email
L222,Qualified,E222,Email,2023-01-10 06:00:00,Replied,3,4,17,12,6,Neutral,0.82,Wait
L223,Qualified,E223,Demo,2023-01-10 07:00:00,Opened,7,113,29,7,4,Positive,0.63,Close
L224,New,E224,Email,2023-01-10 08:00:00,No-show,9,46,24,16,8,Neutral,0.72,Email
L225,Qualified,E225,Meeting,2023-01-10 09:00:00,Opened,13,18,20,3,7,Negative,0.04,Wait
L226,Qualified,E226,Demo,2023-01-10 10:00:00,Replied,14,43,9,18,9,Negative,0.74,Wait
L227,Proposal,E227,Demo,2023-01-10 11:00:00,Opened,1,80,4,8,8,Positive,0.49,Call
L228,Proposal,E228,Email,2023-01-10 12:00:00,No-show,8,33,16,14,9,Neutral,0.32,Email
L229,Proposal,E229,Demo,2023-01-10 13:00:00,Opened,12,93,21,8,7,Positive,0.14,Close
L230,Proposal,E230,Demo,2023-01-10 14:00:00,No-show,8,103,12,8,5,Neutral,0.08,Email
L231,New,E231,Demo,2023-01-10 15:00:00,No-show,14,10,22,13,3,Neutral,0.04,Email
L232,Proposal,E232,Meeting,2023-01-10 16:00:00,Opened,13,73,16,15,8,Negative,0.16,Close
L233,Qualified,E233,Email,2023-01-10 17:00:00,Replied,9,59,8,16,8,Positive,0.03,Close
L234,New,E234,Demo,2023-01-10 18:00:00,No-show,9,31,23,12,9,Negative,0.73,Call
L235,Qualified,E235,Call,2023-01-10 19:00:00,Opened,12,28,11,8,9,Negative,0.25,Wait
L236,Qualified,E236,Call,2023-01-10 20:00:00,No-show,5,60,13,14,8,Negative,0.37,Close
L237,Qualified,E237,Call,2023-01-10 21:00:00,Replied,3,3,13,6,9,Positive,0.82,Close
L238,Proposal,E238,Call,2023-01-10 22:00:00,Opened,3,118,7,0,2,Neutral,0.11,Email
L239,Proposal,E239,Meeting,2023-01-10 23:00:00,Opened,12,55,22,0,2,Neutral,0.84,Close
L240,New,E240,Demo,2023-01-11 00:00:00,Opened,5,14,4,4,5,Positive,0.64,Close
L241,New,E241,Email,2023-01-11 01:00:00,Replied,4,58,18,8,5,Neutral,0.34,Email
L242,Proposal,E242,Demo,2023-01-11 02:00:00,No-show,5,89,27,11,5,Positive,0.12,Email
L243,Qualified,E243,Meeting,2023-01-11 03:00:00,Opened,6,15,13,5,4,Positive,0.09,Email
L244,New,E244,Call,2023-01-11 04:00:00,No-show,6,2,8,12,4,Neutral,0.34,Call
L245,Proposal,E245,Meeting,2023-01-11 05:00:00,No-show,8,24,29,7,1,Negative,0.14,Wait
L246,Proposal,E246,Demo,2023-01-11 06:00:00,Replied,7,78,6,14,6,Positive,0.27,Close
L247,Proposal,E247,Email,2023-01-11 07:00:00,Opened,12,64,26,5,3,Positive,0.05,Email
L248,Qualified,E248,Meeting,2023-01-11 08:00:00,No-show,5,112,25,5,2,Positive,0.6,Email
L249,Proposal,E249,Email,2023-01-11 09:00:00,Opened,11,71,25,3,7,Positive,0.15,Wait
L250,Proposal,E250,Meeting,2023-01-11 10:00:00,Opened,5,100,7,10,3,Neutral,0.76,Call
L251,Proposal,E251,Email,2023-01-11 11:00:00,Replied,14,114,13,17,3,Neutral,0.22,Close
L252,Proposal,E252,Email,2023-01-11 12:00:00,Opened,13,24,21,2,7,Positive,0.8,Call
L253,New,E253,Call,2023-01-11 13:00:00,Opened,4,27,27,2,0,Negative,0.19,Call
L254,New,E254,Email,2023-01-11 14:00:00,No-show,0,37,13,11,8,Neutral,0.72,Call
L255,Proposal,E255,Call,2023-01-11 15:00:00,Replied,8,102,10,5,6,Negative,0.33,Email
L256,Qualified,E256,Demo,2023-01-11 16:00:00,Opened,8,94,13,5,1,Negative,0.58,Wait
L257,New,E257,Demo,2023-01-11 17:00:00,No-show,8,91,20,7,5,Positive,0.04,Wait
L258,Proposal,E258,Call,2023-01-11 18:00:00,Replied,14,39,7,14,7,Neutral,0.5,Wait
L259,New,E259,Call,2023-01-11 19:00:00,Replied,10,63,2,17,4,Positive,0.15,Call
L260,New,E260,Meeting,2023-01-11 20:00:00,No-show,7,79,27,19,5,Positive,0.49,Close
L261,Qualified,E261,Meeting,2023-01-11 21:00:00,No-show,12,26,28,15,9,Negative,0.14,Call
L262,Proposal,E262,Meeting,2023-01-11 22:00:00,No-show,9,65,28,5,7,Negative,0.44,Wait
